kernel,accuracy,precision_malignant,recall_malignant,f1_malignant,true_benign,false_malignant,false_benign,true_malignant
linear,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,72,0,2,40
rbf,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,72,0,3,39
sigmoid,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,71,1,5,37
poly,0.9385964912280702,0.9487179487179487,0.8809523809523809,0.9135802469135802,70,2,5,37
